DATE,STAR,LIKE,REVIEW
2021년 2월 27일,별표 5개 만점에 5개를 받았습니다.,132,"동백전 잘쓰고 있었는데 4월부터 코나아이로 이관된다니 너무 아쉽습니다ㅠㅠ 코나카드로 이관되면 부산은행에서 발급받은 동백전 체크카드는 더이상 쓸수가 없는건가요? 저는 코나카드 기이용자인데 현재 은행사에서 발급하는 동백전 체크카드는 삼성페이에 연결가능한 반면 코나카드는 삼페 연결이 안돼서 정말 많이 불편할것 같거든요.. 굳이 이미 발급된 카드가 있는데 코나카드를 추가발급 해야하면 플라스틱 쓰레기가 증가한다는 점이나 예산이 낭비되는것은 아닌지도 걱정이 되고요. 코나아이로는 앱 서비스만 이관되고 체크카드는 현재 카드 그대로 이용할수 있었으...
전체 리뷰"
2021년 3월 27일,별표 5개 만점에 5개를 받았습니다.,77,앱도깔끔하고 너무잘썻는데 어디로 이관된다하니 이용자입장에선 짜증나네요.. 전혀 불만스러운부분이 없었는데 이관되면 거긴 이보다 더 잘하려나요;; 왜바뀌는지도 불만이네요 여튼 올한해 힘들었는데 동백전이 큰도움이되엇습니다 고마워용!
2021년 2월 9일,별표 5개 만점에 1개를 받았습니다.,65,본인인증에 재발송 안하고 다음을 클릭했는데.. 왜 계속 인증번호가 날아오고...본인 인증이 안됩니까?
2021년 2월 9일,별표 5개 만점에 3개를 받았습니다.,8,초기에 앱 오류 및 접속 잘 안됨 하나카드 엉망 지금 2021년 1월 잘됨 좋음
2021년 2월 24일,별표 5개 만점에 5개를 받았습니다.,7,안드로이드11로 업데이트 후 알림이 부분적으로 오지 않습니다.
2021년 4월 5일,별표 5개 만점에 1개를 받았습니다.,3,왜 연계 사용이 안되나요? 코나아이로 자동 연결되게 해야 되는거 아닌가요?
2021년 2월 9일,별표 5개 만점에 5개를 받았습니다.,,앱카드. QR카드 넘 편리함.강추
2021년 2월 9일,별표 5개 만점에 4개를 받았습니다.,,필요한 만큼 충전하여 사용하니 좋아요
2021년 2월 21일,별표 5개 만점에 3개를 받았습니다.,2,다른지역처럼 더많은 혜택이 있었으면 좋겠습니다
2021년 2월 9일,별표 5개 만점에 4개를 받았습니다.,1,적립을자주해야하는불편이있읍니다
2021년 4월 6일,별표 5개 만점에 5개를 받았습니다.,,역시 예전 동백전이 디자인도 예뻤고 앱 구성이 간단해서 좋았던것같습니다 새로운 동백전앱이 워낙 적응하기 힘드니 예전 동백전이 그리워지네요 여태까지 수고많으셨습니다!
